University_name,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
Abilene Christian University,Yes,0.03288692645741778,0.044177012719932976,0.10791253736039012,0.23157894736842105,0.4725274725274725,0.08716353478923311,0.02454774444698878,0.2634297520661157,0.23959646910466584,0.15775401069518716,0.29770992366412213,0.6526315789473685,0.7105263157894737,0.418230563002681,0.1875,0.07267140460346486,0.46296296296296297
Adelphi University,Yes,0.043842292712390395,0.0705308858252723,0.07503539405379896,0.15789473684210525,0.21978021978021978,0.08075165058405281,0.056148385619418366,0.5134297520661157,0.7361286254728878,0.2914438502673797,0.19083969465648856,0.22105263157894736,0.07894736842105263,0.26005361930294907,0.25,0.1383867136690105,0.42592592592592593
Adrian College,Yes,0.028054901797429862,0.0390357224464925,0.0473493786377222,0.22105263157894736,0.45054945054945056,0.028472574911122397,0.004488207007098695,0.4602272727272727,0.3105296343001261,0.1354723707664884,0.13969465648854962,0.47368421052631576,0.5526315789473685,0.27882037533512066,0.46875,0.10460534997266575,0.4074074074074074
Agnes Scott College,Yes,0.006998104679982505,0.010549165968466752,0.01604530438886267,0.6210526315789474,0.8791208791208791,0.011776282376841037,0.002839477902450195,0.5485537190082644,0.5784993694829761,0.15775401069518716,0.09541984732824428,0.8842105263157894,0.9605263157894737,0.13941018766756033,0.578125,0.29841461345599185,0.4537037037037037
Alaska Pacific University,Yes,0.002332701559994168,0.002818188742478483,0.003146138115463269,0.15789473684210525,0.38461538461538464,0.0034916201117318434,0.03975269063430272,0.26962809917355374,0.36885245901639346,0.3137254901960784,0.19083969465648856,0.7157894736842105,0.631578947368421,0.2520107238605898,0.03125,0.14583294059984542,0.046296296296296294
Albertson College,Yes,0.010538812404973653,0.015500038083631654,0.019348749410099102,0.3894736842105263,0.5824175824175825,0.017108938547486033,0.0018319212273872224,0.5764462809917356,0.24511349306431274,0.1800356506238859,0.0648854961832061,0.6210526315789474,0.6447368421052632,0.18498659517426275,0.171875,0.1233057477331423,0.4166666666666667
Albertus Magnus College,Yes,0.005665132359985837,0.010206413283570722,0.010696869592575113,0.16842105263157894,0.3956043956043956,0.008792534281361097,0.010487749026791848,0.565599173553719,0.6210592686002522,0.1800356506238859,0.19083969465648856,0.8631578947368421,0.9078947368421053,0.2412868632707775,0.40625,0.10698060210756499,0.49074074074074076
Albion College,Yes,0.037864744964905335,0.06276182496762892,0.0714173352210162,0.37894736842105264,0.6483516483516484,0.04618461147790757,0.0014197389512250974,0.5954545454545455,0.4801387137452711,0.15775401069518716,0.0916030534351145,0.8526315789473684,1.0,0.3002680965147453,0.578125,0.15648387279205234,0.5833333333333334
Albright College,Yes,0.01993210172245017,0.029210145479472923,0.030202925908447382,0.30526315789473685,0.5934065934065934,0.026472828847130522,0.013968399358827571,0.6846590909090909,0.4129886506935687,0.09090909090909091,0.03816793893129771,0.7473684210526316,0.7894736842105263,0.23592493297587136,0.359375,0.15944351235696647,0.6481481481481481
Alderson-Broaddus College,Yes,0.010434673942473913,0.016223627085078834,0.02155104609092339,0.21052631578947367,0.38461538461538464,0.02094972067039106,0.003526448362720403,0.41983471074380163,0.25220680958385877,0.25133689839572193,0.2366412213740458,0.3368421052631579,0.2236842105263158,0.2412868632707775,0.234375,0.10943125907214357,0.3888888888888889
Alfred University,Yes,0.034386520317414036,0.0515271536293701,0.06874311782287243,0.37894736842105264,0.7252747252747253,0.05367572371762316,0.004991985344630181,0.7338842975206612,0.5715636822194199,0.1800356506238859,0.05343511450381679,0.7789473684210526,0.8421052631578947,0.23592493297587136,0.484375,0.14602145267404376,0.5833333333333334
Allegheny College,Yes,0.05354799741736613,0.06961687866554955,0.07063080069215039,0.45263157894736844,0.7472527472527473,0.04977145759268664,0.001969315319441264,0.7613636363636364,0.4192938209331652,0.1354723707664884,0.05343511450381679,0.6842105263157895,0.881578947368421,0.19839142091152817,0.640625,0.16070654325409542,0.6111111111111112
Allentown Coll. of St. Francis de Sales,Yes,0.022868806364942828,0.02696321121182116,0.04011326097215668,0.3894736842105263,0.6043956043956044,0.03145632300660234,0.029173345546141517,0.37964876033057854,0.47367591424968475,0.22459893048128343,0.11450381679389313,0.5473684210526316,0.7894736842105263,0.289544235924933,0.328125,0.08961864007389674,0.5925925925925926
Alma College,Yes,0.024701643304938247,0.03838830070835555,0.05505741702060721,0.45263157894736844,0.7032967032967034,0.03704291518537329,0.001236546828486375,0.5285123966942149,0.4369482976040353,0.1354723707664884,0.022900763358778626,0.7473684210526316,0.8289473684210527,0.3431635388739947,0.5,0.11535053820197183,0.5370370370370371
Alverno College,Yes,0.008601837002478496,0.009178155228882627,0.019191442504325938,0.23157894736842105,0.4065934065934066,0.03739207719654647,0.05651476986489581,0.31053719008264463,0.2931904161412358,0.24688057040998218,0.33572519083969465,0.29473684210526313,0.5921052631578947,0.23056300268096516,0.40625,0.09314381586140592,0.4166666666666667
American International College,Yes,0.02788828025743028,0.03888338791987204,0.029101777568035236,0.08421052631578947,0.14285714285714285,0.027901218892839006,0.01309823677581864,0.3285123966942149,0.4728877679697352,0.15775401069518716,0.17557251908396945,0.7368421052631579,0.7894736842105263,0.32707774798927614,0.296875,0.07859068373329312,0.5462962962962963
Amherst College,Yes,0.08791369004228021,0.03503694112270546,0.060248544911121596,0.8631578947368421,0.9560439560439561,0.046152869476891824,0.00018319212273872223,0.8997933884297521,0.5548549810844893,0.25133689839572193,0.20580152671755725,0.8947368421052632,0.9736842105263158,0.15817694369973193,0.984375,0.3438083209229551,0.8333333333333334
Anderson University,Yes,0.023639430987440903,0.03183791606367583,0.061035079439987414,0.18947368421052632,0.34065934065934067,0.053326561706449976,0.012823448591710557,0.40082644628099173,0.2742749054224464,0.20231729055258468,0.1297709923664122,0.42105263157894735,0.4868421052631579,0.257372654155496,0.21875,0.09063660527456784,0.4537037037037037
Andrews University,Yes,0.021848249432445378,0.024068855206032448,0.04514708195689791,0.1368421052631579,0.15384615384615385,0.045930675469781614,0.014884359972521181,0.39545454545454545,0.20649432534678436,0.3582887700534759,0.1633587786259542,0.5684210526315789,0.5526315789473685,0.2412868632707775,0.28125,0.14556902369596772,0.3333333333333333
Angelo State University,No,0.0720429883573199,0.07346332546271613,0.15431807456347332,0.24210526315789474,0.4945054945054945,0.12858684611477908,0.06920082436455233,0.1441115702479339,0.28562421185372006,0.1800356506238859,0.26717557251908397,0.5473684210526316,0.5,0.5522788203753352,0.078125,0.015533394913944239,0.2222222222222222
Antioch University,Yes,0.013163101659967093,0.02243125904486252,0.03413559855277647,0.25263157894736843,0.38461538461538464,0.01818816658202133,0.0010075566750629723,0.6785123966942149,0.24527112232030265,0.1354723707664884,0.1297709923664122,0.6421052631578947,0.7631578947368421,0.23592493297587136,0.546875,0.7491469828642524,0.35185185185185186
Appalachian State University,No,0.15062587215962345,0.1748800365602864,0.2949504483246815,0.2,0.5934065934065934,0.31110335195530725,0.0473551637279597,0.23068181818181818,0.11979823455233292,0.0,0.26717557251908397,0.7894736842105263,0.9473684210526315,0.4235924932975872,0.21875,0.05029502139612042,0.5555555555555556
Aquinas College,Yes,0.011205298564971987,0.016909132454870898,0.028944470662262075,0.2,0.46153846153846156,0.035297105129507365,0.03508129150446531,0.4580578512396694,0.3694829760403531,0.11319073083778966,0.2083969465648855,0.49473684210526314,0.5394736842105263,0.2734584450402145,0.390625,0.06405640281260015,0.5092592592592593
Arizona State University Main campus,No,0.26509487013933725,0.3898240536217534,0.586125530910807,0.24210526315789474,0.43956043956043955,0.7127348908075165,0.34733226471261736,0.2631198347107438,0.483921815889029,0.26916221033868093,0.2824427480916031,0.8421052631578947,0.9078947368421053,0.43967828418230565,0.078125,0.0266933097064867,0.35185185185185186
Arkansas College (Lyon College),Yes,0.013058963197467353,0.009977911493640034,0.02060720465628441,0.47368421052631576,0.7142857142857143,0.012411122397155916,0.00828944355392718,0.3256198347107438,0.3376418663303909,0.1800356506238859,0.08396946564885496,0.7473684210526316,0.8421052631578947,0.2707774798927614,0.375,0.2147718061341829,0.4074074074074074
